title,release_date,movie_url
GOAT,"February 11, 2026",https://www.themoviedb.org/movie/1297842-goat
Heresy,"January 25, 2024",https://www.themoviedb.org/movie/1219739-witte-wieven
Dhurandhar,"January 30, 2026",https://www.themoviedb.org/movie/1291608
Carry On Jatta 4,"June 26, 2026",https://www.themoviedb.org/movie/1522333-carry-on-jatta-4
Office Romance,"June  5, 2026",https://www.themoviedb.org/movie/1358005-office-romance
Torrente for President,"March 13, 2026",https://www.themoviedb.org/movie/1217584-torrente-presidente
Toy Story 2,"October 30, 1999",https://www.themoviedb.org/movie/863-toy-story-2
Avengers: Infinity War,"April 27, 2018",https://www.themoviedb.org/movie/299536-avengers-infinity-war
On the Beach,"August 24, 1985",https://www.themoviedb.org/movie/405871
Toy Story 3,"October 22, 2010",https://www.themoviedb.org/movie/10193-toy-story-3
Greenland 2: Migration,"January  7, 2026",https://www.themoviedb.org/movie/840464-greenland-2-migration
Porn,"May 16, 2023",https://www.themoviedb.org/movie/1202285-porn
My Fault,"June  8, 2023",https://www.themoviedb.org/movie/1010581-culpa-mia
Shelter,"January 28, 2026",https://www.themoviedb.org/movie/1290821-shelter
The Devil Wears Prada,"June 29, 2006",https://www.themoviedb.org/movie/350-the-devil-wears-prada
The Matrix,"March 31, 1999",https://www.themoviedb.org/movie/603-the-matrix
Room in Rome,"May  7, 2010",https://www.themoviedb.org/movie/48650-habitacion-en-roma
King Kaew,"January 29, 2026",https://www.themoviedb.org/movie/1543151
Ghost Stories,"January  1, 1982",https://www.themoviedb.org/movie/687259
The Housemaid,"December 18, 2025",https://www.themoviedb.org/movie/1368166-the-housemaid
Pressure,"May 25, 2026",https://www.themoviedb.org/movie/1318413-pressure
Spider-Man: No Way Home,"December 15, 2021",https://www.themoviedb.org/movie/634649-spider-man-no-way-home
Virgin,"October 29, 2024",https://www.themoviedb.org/movie/1002398-donselya
Stepdaddy,"April  4, 2026",https://www.themoviedb.org/movie/1658216-stepdaddy
The Dark Knight,"July 16, 2008",https://www.themoviedb.org/movie/155-the-dark-knight
Real Steel,"November 11, 2011",https://www.themoviedb.org/movie/39254-real-steel
True Fear,"September  6, 2024",https://www.themoviedb.org/movie/1245398-akta-skrack
